Kansas City,Lawrence,Manhattan,Topeka,Wichita
"8th Street, South   66105",E 920 Road   66049,Shoreline Drive   66502,"Faxon Drive, Southeast   66605",Brookridge Court   67205
"8th Street, South   66111",E 932 Road   66047,Shuss Road   66503,Fieldcrest Court   66614,"Brooks Avenue, East   67220"
"8th Terrace, South   66103",E 932nd Road   66047,Sierra Vista Lane   66502,"Fielding Place, Northwest   66618","Brooks Street, East   67220"
"9 Place, South   66103",E 936 Road   66049,Silver Creek Road   66503,"Fielding Road, Northwest   66618","Brookside Pkwy, North   67208"
"9 Terrace, South   66103",E 945 Road   66049,Silver Spring   66503,"Fielding Terrace, Northwest   66618","Brookside Street, North   67208"
90th Street   66112,E 950 Road   66047,Sioux Circle   66503,"Fieldwood Drive, Southwest   66619","Brookside, South   67218"
"90th Street, North   66112",E 950 Road   66049,Skyler Circle   66502,"Fillmore Street, Northwest   66606",Brookstone   67226
"90th Street, North   66112",E 950th Road   66049,Skyline Drive   66502,"Fillmore Street, Northwest   66608",Brookview   67220
"90th Street, South   66111",E 960 Road   66049,Skyvue Lane   66502,"Fillmore Street, Southwest   66604","Brookview Circle, East   67226"
"91st Street, North   66109",E 964th Road   66049,Skyway Drive   66503,"Fillmore Street, Southwest   66606",Brookview Court   67220
"92 Terrace, North   66112",E 965 Road   66049,Sloan Street   66502,"Fillmore Street, Southwest   66611","Brookview Court, West   67205"
"92nd Street, North   66112",E 975 Road   66049,Smith Hills Lane   66502,"Finsbury Avenue, Southwest   66614","Brookview Street, West   67205"
"92nd Terrace, North   66112",E 978th Road   66049,Smith Street   66502,"First American Place, Southwest   66604","Brownthrush Circle, North   67212"
"93rd Lane, North   66109",E 980 Road   66049,Snowbird Drive   66502,"Fleming Court, Southwest   66604","Brownthrush Circle, South   67209"
"93rd Street, North   66109",E 9th Street   66044,Snowy Reach   66503,"Flora Court, Southeast   66605","Brownthrush Court, South   67209"
"93rd Street, North   66109",E Glenn Drive   66044,Sod Lane   66502,"Florence Avenue, Northeast   66616","Brownthrush Lane, North   67212"
94th Street   66111,E Indian Avenue   66046,Somerset Square   66503,"Forbes Road, Northwest   66618","Brownthrush Street, North   67212"
"94th Street, North   66111",E Mills Street   66046,Southwind Place   66503,"Fordham Avenue, North   66619","Brummett Circle, South   67215"
"94th Street, North   66112",E North Park Street   66044,Spain Drive   66502,"Fordham Avenue, South   66619",Brummett Court   67215
"94th Street, South   66111",E South Park Street   66044,Sparrow Lane   66502,"Forest Avenue, Northeast   66616",Brummett Street   67209
"94th Street, South   66111",E1382   66046,Spillway Marina Road   66502,"Forest Drive, Northeast   66617","Brummett Street, South   67215"
"95th Street, North   66109",E848 Road   66049,Spring Drive   66503,"Fountaindale Road, Southwest   66614","Brundige Street, South   67207"
"95th Street, South   66111",E960   66049,Spring Hill Lane   66502,"Foxcroft Circle N, Southwest   66614","Brunswick Circle, North   67212"
"95th Street, South   66111",Eagle Pass Court   66049,Spruce Place   66502,"Foxcroft Circle S, Southwest   66614","Brunswick Court, North   67212"
"96th Street, South   66111",Eagle Pass Drive   66049,St Andrew Circle   66502,"Foxcroft Court 1, Southwest   66614","Brunswick Street, North   67212"
97th Street   66109,Eagle Ridge Court   66047,St Anthony Place   66502,"Foxcroft Court 2, Southwest   66614","Brunswick Street, South   67209"
"97th Street, North   66109",Earhart Circle   66049,St Charles Drive   66502,"Foxcroft Court 3, Southwest   66614","Brush Creek Circle, North   67205"
"97th Street, North   66109",East Drive   66046,St Christopher Circle   66502,"Foxcroft Court One, Southwest   66614","Brush Creek Court, North   67205"
"98th Street, North   66111",Easy Court   66049,St James Circle   66502,"Foxcroft Court Three, Southwest   66614","Brush Creek Street, North   67205"
"98th Street, South   66111",Easy Street   66049,St Matthew Circle   66502,"Foxcroft Court Two, Southwest   66614",Buckeridge Court   67203
"99 Terrace, North   66109",Eaton Drive   66049,St Matthew Drive   66502,"Franklin Avenue, Northwest   66606",Buckner Street   67210
"99th Street, North   66109",Eddingham Drive   66046,St Michael Circle   66502,"Franklin Avenue, Southwest   66606",Buffum Street   67203
99th Terrace   66109,Edgehill Road   66044,Stacy Lane   66503,"Frazier Avenue, Southwest   66604",Bullinger Street   67203
"99th Terrace, North   66109",Edgelea Road   66046,Stadel Road   66502,"Frazier Avenue, Southwest   66606",Bullinger Street   67204
"9th Place, South   66103",Edgewood Lane   66044,Stadium Place   66502,"Frazier Circle, Southwest   66606",Bunker Hill Drive   67210
9th Street   66111,Edgewood Road   66049,Stag Hill Road   66502,"Frazier Court, Southwest   66606","Bunker Hill Drive, South   67210"
"9th Street, North   66101",Edinburgh Road   66049,Stagecoach Circle   66503,"Fredith Lane, Northwest   66618","Bunker Hill, South   67210"
"9th Street, South   66101",Eisenhower Drive   66049,Stagg Hill Road   66502,"Fredith Road, Northwest   66618","Bunting Drive, East   67218"
"9th Street, South   66103",Eisenhower Lane   66049,State Highway 113   66502,"Freeman Avenue, Northeast   66616",Bunting Street   67218
"9th Street, South   66105",Eisenhower Place   66049,State Highway 13   66502,"Fremont Street, Southeast   66605",Burlington Court   67219
"9th Street, South   66105",Eisenhower Terrace   66049,State Highway 177   66502,"Fremont Street, Southeast   66609",Burlington Street   67219
"9th Street, South   66106",el Dorado Drive   66047,State Highway 18   66502,"Friar Road, Southwest   66610","Burnett Street, East   67219"
"9th Street, South   66111",Eldridge Lane   66049,State Highway 18   66503,"Friar Road, Southwest   66614","Burnett Street, West   67204"
"9th Street, South   66111",Eldridge Street   66049,State Lake Road   66502,"Front Street, Southwest   66606",Burning Tree   67228
"9th Terrace, South   66103",Elizabeth Court   66049,State Street   66503,Frontage Road 1   66618,Burning Tree Court   67230
Abbie Street   66103,Ellie Lane   66049,Stephen Court   66503,Frontage Road 2   66618,"Burning Tree, North   67230"
Adams Street   66103,Ellis Drive   66044,Stewart Court   66502,"Frontage Road, Northwest   66618",Burns Avenue   67203
Adams Street   66105,Elm Street   66044,Stillman Drive   66502,"Frontage Road, Southwest   66615","Burns Avenue, North   67203"
Alden Street   66104,Elmwood Street   66044,Stockdale Park Road   66503,"Furman Road, Northwest   66618","Burns Circle, North   67204"
Allcutt Avenue   66111,Elmwood Street   66046,Stone Creek Court   66503,"Gabler Street, Southeast   66607","Burns Street, North   67204"
Allen Avenue   66102,Emerald Drive   66046,Stone Crest Drive   66503,"Gage Boulevard, Northwest   66618","Burr Oak Court, North   67206"
Allis Court   66101,Emery Road   66044,Stone Drive   66503,"Gage Boulevard, Southwest   66604",Burr Oak Road   67206
"Allis Street, North   66101",Engel Road   66044,Stone Glenn   66503,"Gage Boulevard, Southwest   66606",Burrus   67207
Alma Street   66103,Essex Court   66049,Stone Grove Drive   66503,"Gage Boulevard, Southwest   66609",Burrus Court   67207
Alma Street   66106,Fair Lane Street   66046,Stone Pine Circle   66503,"Gage Boulevard, Southwest   66610",Burton   67235
Angle Court   66109,Fairlane Street   66046,Stone Pointe Drive   66503,"Gage Boulevard, Southwest   66614","Burton Avenue, West   67235"
Ann Avenue   66101,Fake Kasold Drive   66047,Stone Post Road   66502,"Gage Center Drive, Southwest   66604",Burton Court   67235
Ann Avenue   66102,Fall Creek Road   66049,Stone Valley Lndg   66502,"Gage Circle, Southwest   66606","Burton Court, West   67235"
Ann Avenue   66112,Fenwick Road   66046,Stonedale Drive   66503,"Gage Court, Southwest   66606",Burton Street   67213
Arapaho Circle E   66106,Field Stone Court   66049,Stonehenge Court   66503,"Gage Road, Southwest   66610","Burton Street, West   67209"
Arcadia Avenue   66102,Field Stone Drive   66049,Stonehenge Drive   66503,"Gainsboro Circle, Southwest   66614","Burton Street, West   67213"
Arcadia Court   66102,Firefly Court   66049,Stonemont Drive   66503,"Gainsboro Road, Southwest   66614","Burton Street, West   67235"
Arcadia Court   66112,Fireside Court   66049,Stoneridge Court   66503,"Gamwell Road, Southwest   66610",Butler Street   67216
Arcadia Street   66102,Fireside Drive   66049,Stonewood Drive   66502,"Garden Court, Southeast   66605","Butternut Drive, South   67230"
Argentine Boulevard   66105,Flint Court   66047,Stony Brook Drive   66503,"Garden Lane, Southwest   66614",Byrd Street   67206
Argentine Boulevard   66106,Flint Drive   66047,Stratford Circle   66503,"Garden Park Court, Southeast   66605","Byron Avenue, South   67209"
Armourdale Pkwy   66105,Florida Street   66044,Stratford Drive   66503,"Garfield Avenue, Southwest   66604","Byron Court, South   67209"
Armstrong Avenue   66101,Folks Road   66049,Stratford Terrace   66503,"Garfield Avenue, Southwest   66606","Byron Road, North   67212"
Armstrong Avenue   66102,"Folks Road, South   66049",Stratton Circle   66502,"Garfield Avenue, Southwest   66611","Byron Road, South   67209"
Armstrong Avenue   66103,Forrest Avenue   66044,Strawberry Circle   66502,"Gemini Avenue, Southeast   66605","Cactus Court, South   67230"
Armstrong Avenue   66112,Fountain Drive   66047,Strawberry Circle   66503,"Gemini Court, Southeast   66605","Cactus Street, South   67230"
Aspen   66111,Fountain Drive (P)   66047,Strawberry Lane   66502,"Gemstone Lane, Southeast   66609","Caddy Court, North   67212"
Aspen Drive   66111,Four Wheel Drive   66047,Strong Avenue   66502,"Gerald Lane, Southwest   66615","Caddy Lane, North   67212"
Atlas Avenue   66104,Fox Chase Court   66049,Sugar Bush Lane   66502,"Geronimo Trail, Northwest   66618","Caddy, North   67212"
August Court   66106,Fox Chase Drive   66049,Sumac Drive   66502,"Getty Street, Northeast   66617",Calais Court   67210
August Lane   66106,Fox Fire Drive   66047,Summit Avenue   66502,"Gibson Street, Northwest   66618",Calais Road   67210
Augusta Drive   66109,Fox Trotter Court   66049,Summit Drive   66503,Gilkerson Street   66615,Calhoun Street   67207
Ball Lane   66103,Foxchase Court   66049,Summit Ridge Drive   66503,"Gilmore Avenue, Southeast   66605",Callahan Court   67205
"Baltimore Street, North   66102",Foxchase Drive   66049,Sundance Drive   66503,"Gilmore Avenue, Southeast   66607","Callahan Drive, South   67209"
"Baltimore Street, North   66104",Foxfire Drive   66047,Sunflower Slope Drive   66502,"Gilmore Court, Southeast   66607","Callahan Street, North   67205"
"Baltimore Street, South   66102",Franklin Park Circle   66046,Sunny Circle   66502,"Gilmore Street, Southeast   66605","Callahan, North   67212"
"Baltimore Street, South   66103",Franklin Road   66046,Sunnymeade Road   66502,"Girard Street, Southeast   66605",Callen Street   67220
"Baltimore Street, South   66105",Free State Court   66047,Sunnyside Drive   66502,"Girard Street, Southeast   66609","Calma Drive, North   67204"
Barben Lane   66106,Free State Lane   66047,Sunnyslope Circle   66502,"Gisbourne Court, Southwest   66614",Calma Road   67204
Barben Road   66103,Freedom Creek Drive   66049,Sunnyslope Lane   66502,"Gisbourne Lane, Southwest   66614",Calvert Court   67217
Barber Avenue   66103,Freedom Hill Court   66047,Sunrise Circle   66502,Glacier Road   66615,Calvert Street   67217
Barber Avenue   66106,Frontier Road   66044,Sunset Avenue   66502,"Glen Court, Southwest   66615","Calvert Street, West   67215"
Barber Avenue   66111,Frontier Road   66049,Sunset Lane   66502,"Glencoe Street, Southwest   66611","Calvert Street, West   67217"
Barber Court   66106,Funston Street   66044,Susan Court   66503,"Glencrest Drive, Southwest   66619","Calvin Drive, East   67218"
Barker Circle   66104,Gardens Court   66044,Swamp Angel Road   66502,"Glendale Drive, Southwest   66604",Calvin Street   67218
"Barker Circle, East   66104",Garfield Street   66044,Swede Circle   66502,"Glendale Drive, Southwest   66606",Cambridge   67226
"Barker Circle, West   66104",Gateway Court   66049,Sycamore Lane   66502,"Glendale Drive, Southwest   66614",Cambridge Court   67219
Barnes Drive   66109,Gateway Drive   66049,Sykes Boulevard   66503,"Glengate Lane, Southwest   66619",Cambridge Street   67219
Barnett Avenue   66101,Gennessee Court   66044,Tabor Creek Lane   66502,"Glenn Court, Southwest   66606",Camden Chase   67228
Barnett Avenue   66102,Gennessee Street   66044,Tabor Lane   66502,"Glenside Court, South   66605",Camden Chase Court   67228
Barnett Avenue   66112,George Court   66044,Tabor Valley Road   66502,"Glenside Court, Southeast   66605","Cameron Circle, North   67226"
Barnett Court   66102,George Williams Way   66047,Tall Grass   66503,"Glenwood Drive, Northwest   66617","Cameron Street, North   67226"
Beach Street   66111,Gill Avenue   66047,Tall Grass Road   66502,"Glick Road, Northwest   66615",Campos Lane   67204
Bell Crossing Drive   66104,Glasier Drive   66047,Talon Drive   66502,"Glick Road, Southwest   66614","Campus Street, East   67216"
Bellerive Drive   66109,Glen Eagle Court   66047,Taloon Circle   66502,"Glick Road, Southwest   66615","Campus Street, West   67217"
Bent Tree Drive   66109,Glen Eagle Drive   66047,Tamarak Drive   66503,"Glitch Road, Southwest   66614","Candlewood Circle, North   67205"
Berger Avenue   66105,"Glenn Drive, East   66044",Tamarron Terrace   66502,Gold Finch Road   66610,"Candlewood Street, North   67205"
Berger Avenue   66111,Glenview Drive   66049,Tammer Curve   66502,"Golden Avenue, Northeast   66616",Cannan Drive   67210
Berry Road   66103,Goff Court   66047,Taneil Drive   66502,"Golden Avenue, Southeast   66605",Canterbury Court   67219
Berry Road   66106,Golden Rain Drive   66044,Tatarrax Drive   66502,"Golden Avenue, Southeast   66607",Canyon   67235
Bethany Street   66102,Golden Road   66044,Taylors View Road   66502,"Goldwater Road, Northeast   66617","Capri Circle, South   67207"
"Bethany Street, North   66104",Goldfield Court   66049,Technology Circle   66503,Golf Park Boulevard   66605,"Capri Court, South   67207"
"Bethany Street, South   66102",Goldfield Street   66049,Tecumseh Road   66502,"Golf Park Boulevard, Southeast   66605",Capri Lane   67207
"Bethany Street, South   66105",Goldleaf Place   66049,Temple Lane   66502,"Golf View Court, Southwest   66614",Capri Lane   67210
Beverly Drive   66104,Goodell Court   66046,Terra Heights Drive   66503,"Golf View Drive, Southwest   66614","Capri Lane, South   67207"
Birch Drive   66106,Gower Place   66044,Terry Way   66502,"Goodell Road, Northeast   66616","Capri Lane, South   67210"
Birch Street   66106,Grand Circle   66047,Thackery Street   66502,"Goodyear Road, Northwest   66618",Cardinal Drive   67204
Black Swan Drive   66106,Grandview Terrace   66044,Thomas Circle   66502,"Gordon Street, Northeast   66608","Cardinal Lane, North   67230"
Blake Street   66111,Grant Street   66044,Thomas Wiard Road   66503,"Gordon Street, Northwest   66608","Cardinal Lane, South   67230"
