Kansas City,Lawrence,Manhattan,Topeka,Wichita
"17th Street, South   66102","17th Street, East   66044",Cedar Acres Drive   66502,"34th Street, Northwest   66618","29th Street S, East   67216"
"17th Street, South   66103","17th Street, West   66044",Cedar Court   66503,"34th Street, Southeast   66605","29th Street S, West   67209"
"18th Expy, South   66103","17th Terrace, East   66044",Cedar Creek Road   66502,"34th Street, Southwest   66611","29th Street S, West   67215"
"18th Expy, South   66106","1800 Road, North   66044",Cedar Crest Drive   66503,"34th Street, Southwest   66614","29th Street S, West   67217"
18th Street   66102,"1800 Road, North   66049",Cedar Drive   66502,"34th Terrace, Southeast   66605","2nd Avenue, North   67206"
"18th Street Expy, South   66105","1800th Road, North   66049",Cedar Ridge Drive   66503,"34th Terrace, Southwest   66614","2nd Avenue, North   67207"
"18th Street Expy, South   66106","1818 Road, North   66049",Cedar Rock Lane   66502,"35th Court, Southeast   66605","2nd Avenue, North   67210"
"18th Street, North   66102","1823 Road, East   66046",Cedar Springs Drive   66502,"35th Street, Northeast   66617","2nd Avenue, North   67226"
"18th Street, North   66102","1823rd Road, East   66046",Centennial Drive   66502,"35th Street, Northwest   66617",2nd Street Court   67212
"18th Street, North   66104","1850 Road, East   66046",Chad Place   66502,"35th Street, Northwest   66618","2nd Street N, East   67202"
"18th Street, North   66104","1850 Road, North   66049",Chapman Lane   66503,"35th Street, Southeast   66605","2nd Street N, East   67206"
"18th Street, South   66102","1850th Road, North   66049",Charles Place   66502,"35th Street, Southwest   66614","2nd Street N, East   67208"
"18th Street, South   66105","1859 Road, North   66049",Charolais Lane   66502,"35th Terrace, Southeast   66605","2nd Street N, East   67214"
"18th Street, South   66106","1860 Road, North   66049",Chase   66502,"35th Terrace, Southwest   66611","2nd Street N, West   67202"
"18th Terrace, North   66102","1864 Road, North   66049",Chase Place   66502,"35th Terrace, Southwest   66614","2nd Street N, West   67203"
